"56001001","56","1","1","Paul, a servant of God, and an apostle of Jesus Christ, according to the faith of the choice ones of God, and an acknowledging of truth that `is' according to piety,"
"56001002","56","1","2","upon hope of life age-during, which God, who doth not lie, did promise before times of ages,"
"56001003","56","1","3","(and He manifested in proper times His word,) in preaching, which I was entrusted with, according to a charge of God our Saviour,"
"56001004","56","1","4","to Titus -- true child according to a common faith: Grace, kindness, peace, from God the Father, and the Lord Jesus Christ our Saviour!"
"56001005","56","1","5","For this cause left I thee in Crete, that the things lacking thou mayest arrange, and mayest set down in every city elders, as I did appoint to thee;"
"56001006","56","1","6","if any one is blameless, of one wife a husband, having children stedfast, not under accusation of riotous living or insubordinate --"
"56001007","56","1","7","for it behoveth the overseer to be blameless, as God's steward, not self-pleased, nor irascible, not given to wine, not a striker, not given to filthy lucre;"
"56001008","56","1","8","but a lover of strangers, a lover of good men, sober-minded, righteous, kind, self-controlled,"
"56001009","56","1","9","holding -- according to the teaching -- to the stedfast word, that he may be able also to exhort in the sound teaching, and the gainsayers to convict;"
"56001010","56","1","10","for there are many both insubordinate, vain-talkers, and mind-deceivers -- especially they of the circumcision --"
"56001011","56","1","11","whose mouth it behoveth to stop, who whole households do overturn, teaching what things it behoveth not, for filthy lucre's sake."
"56001012","56","1","12","A certain one of them, a prophet of their own, said -- `Cretans! always liars, evil beasts, lazy bellies!'"
"56001013","56","1","13","this testimony is true; for which cause convict them sharply, that they may be sound in the faith,"
"56001014","56","1","14","not giving heed to Jewish fables and commands of men, turning themselves away from the truth;"
"56001015","56","1","15","all things, indeed, `are' pure to the pure, and to the defiled and unstedfast `is' nothing pure, but of them defiled `are' even the mind and the conscience;"
"56001016","56","1","16","God they profess to know, and in the works they deny `Him', being abominable, and disobedient, and unto every good work disapproved."
"56002001","56","2","1","And thou -- be speaking what doth become the sound teaching;"
"56002002","56","2","2","aged men to be temperate, grave, sober, sound in the faith, in the love, in the endurance;"
"56002003","56","2","3","aged women, in like manner, in deportment as doth become sacred persons, not false accusers, to much wine not enslaved, of good things teachers,"
"56002004","56","2","4","that they may make the young women sober-minded, to be lovers of `their' husbands, lovers of `their' children,"
"56002005","56","2","5","sober, pure, keepers of `their own' houses, good, subject to their own husbands, that the word of God may not be evil spoken of."
"56002006","56","2","6","The younger men, in like manner, be exhorting to be sober-minded;"
"56002007","56","2","7","concerning all things thyself showing a pattern of good works; in the teaching uncorruptedness, gravity, incorruptibility,"
"56002008","56","2","8","discourse sound, irreprehensible, that he who is of the contrary part may be ashamed, having nothing evil to say concerning you."
"56002009","56","2","9","Servants -- to their own masters `are' to be subject, in all things to be well-pleasing, not gainsaying,"
"56002010","56","2","10","not purloining, but showing all good stedfastness, that the teaching of God our Saviour they may adorn in all things."
"56002011","56","2","11","For the saving grace of God was manifested to all men,"
"56002012","56","2","12","teaching us, that denying the impiety and the worldly desires, soberly and righteously and piously we may live in the present age,"
"56002013","56","2","13","waiting for the blessed hope and manifestation of the glory of our great God and Saviour Jesus Christ,"
"56002014","56","2","14","who did give himself for us, that he might ransom us from all lawlessness, and might purify to himself a peculiar people, zealous of good works;"
"56002015","56","2","15","these things be speaking, and exhorting, and convicting, with all charge; let no one despise thee!"
"56003001","56","3","1","Remind them to be subject to principalities and authorities, to obey rule, unto every good work to be ready,"
"56003002","56","3","2","of no one to speak evil, not to be quarrelsome -- gentle, showing all meekness to all men,"
"56003003","56","3","3","for we were once -- also we -- thoughtless, disobedient, led astray, serving desires and pleasures manifold, in malice and envy living, odious -- hating one another;"
"56003004","56","3","4","and when the kindness and the love to men of God our Saviour did appear"
"56003005","56","3","5","(not by works that `are' in righteousness that we did but according to His kindness,) He did save us, through a bathing of regeneration, and a renewing of the Holy Spirit,"
"56003006","56","3","6","which He poured upon us richly, through Jesus Christ our Saviour,"
"56003007","56","3","7","that having been declared righteous by His grace, heirs we may become according to the hope of life age-during."
"56003008","56","3","8","Stedfast `is' the word; and concerning these things I counsel thee to affirm fully, that they may be thoughtful, to be leading in good works -- who have believed God; these are the good and profitable things to men,"
"56003009","56","3","9","and foolish questions, and genealogies, and contentions, and strivings about law, stand away from -- for they are unprofitable and vain."
"56003010","56","3","10","A sectarian man, after a first and second admonition be rejecting,"
"56003011","56","3","11","having known that he hath been subverted who `is' such, and doth sin, being self-condemned."
"56003012","56","3","12","When I shall send Artemas unto thee, or Tychicus, be diligent to come unto me to Nicopolis, for there to winter I have determined."
"56003013","56","3","13","Zenas the lawyer and Apollos bring diligently on their way, that nothing to them may be lacking,"
"56003014","56","3","14","and let them learn -- ours also -- to be leading in good works to the necessary uses, that they may not be unfruitful."
"56003015","56","3","15","Salute thee do all those with me; salute those loving us in faith; the grace `is' with you all!"
"57001001","57","1","1","Paul, a prisoner of Christ Jesus, and Timotheus the brother, to Philemon our beloved and fellow-worker,"
"57001002","57","1","2","and Apphia the beloved, and Archippus our fellow-soldier, and the assembly in thy house:"
"57001003","57","1","3","Grace to you, and peace, from God our Father, and the Lord Jesus Christ!"
"57001004","57","1","4","I give thanks to my God, always making mention of thee in my prayers,"
"57001005","57","1","5","hearing of thy love and faith that thou hast unto the Lord Jesus and toward all the saints,"
"57001006","57","1","6","that the fellowship of thy faith may become working in the full knowledge of every good thing that `is' in you toward Christ Jesus;"
"57001007","57","1","7","for we have much joy and comfort in thy love, because the bowels of the saints have been refreshed through thee, brother."
